Accession,award.rfa,award.pi.title,,Target label,Target gene,Biosample summary,Biosample,Lab,Project,Species,Biosample type,Date released,Month released,Assay category,Assay Type,Assay name,Assay sub-class
ENCSR000EMJ,ENCODE2,John Stamatoyannopoulos,,,,B cell female adult (43 years),B cell,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,10/19/11,"October, 2011",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR882ZTS,ENCODE3,Michael Snyder,,eGFP-ZBTB11,ZBTB11,HEK293 genetically modified using site-specific recombination originated from HEK293,HEK293,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/7/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CHO,ENCODE2-Mouse,Bing Ren,,,,C57BL/6 bone marrow macrophage male adult (8 weeks),bone marrow macrophage,"Bing Ren, UCSD",ENCODE,Mus musculus,primary cell,5/4/12,"May, 2012",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR000CPP,ENCODE2,Thomas Gingeras,,,,HeLa-S3 cytosolic fraction,HeLa-S3,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,immortalized cell line,10/17/11,"October, 2011",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR966RAG,ENCODE3,Bing Ren,,H3K9ac,,C57BL/6 liver postnatal (0 days),liver,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000DAV,ENCODE2,John Stamatoyannopoulos,,,,fibroblast of pedal digit skin female adult (21 year),fibroblast of pedal digit skin,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,4/1/11,"April, 2011",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR168XPO,ENCODE3,Thomas Gingeras,,,,transverse colon male adult (54 years),transverse colon,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,5/23/16,"May, 2016",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR965JWF,ENCODE3,Bing Ren,,H3K9me3,Hist2h3c1,C57BL/6 heart postnatal (0 days),heart,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,2/17/16,"February, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR085AJX,ENCODE3,Richard Myers,,,,C57BL/6 hematopoietic stem cell,hematopoietic stem cell,"Ross Hardison, PennState",ENCODE,Mus musculus,stem cell,1/4/17,"January, 2017",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR941SAZ,ENCODE3,Thomas Gingeras,,,,right lobe of liver female adult (53 years),right lobe of liver,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,8/5/16,"August, 2016",Transcription,RNA-seq,RAMPAGE,RAMPAGE
ENCSR000EQE,ENCODE2,John Stamatoyannopoulos,,,,T-helper 1 cell male adult (33 years),T-helper 1 cell,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,7/23/12,"July, 2012",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR973UGS,ENCODE3,Bing Ren,,H3K27me3,Hist2h3c1,C57BL/6 liver postnatal (0 days),liver,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000DTU,ENCODE2,John Stamatoyannopoulos,,H3K4me3,HIST2H3C,HEK293,HEK293,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,2/11/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR365CUP,ENCODE3,Bing Ren,,H3K9me3,Hist2h3c1,C57BL/6 hindbrain postnatal (0 days),hindbrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,2/17/16,"February, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000DDX,ENCODE2,Richard Myers,,,,hepatocyte,hepatocyte,"Richard Myers, HAIB",ENCODE,Homo sapiens,primary cell,9/30/11,"September, 2011",DNA methylation,RRBS,RRBS,RRBS
ENCSR000CWJ,ENCODE2,Michael Snyder,,,,K562 treated with interferon alpha,K562,"Sherman Weissman, Yale",ENCODE,Homo sapiens,immortalized cell line,9/8/11,"September, 2011",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR401TBQ,ENCODE3,John Stamatoyannopoulos,,,,Caki2,Caki2,"Job Dekker, UMass",ENCODE,Homo sapiens,immortalized cell line,5/13/16,"May, 2016",3D chromatin structure,HiC,Hi-C,Hi-C
ENCSR440CTR,ENCODE3,John Stamatoyannopoulos,,,,Panc1,Panc1,"Job Dekker, UMass",ENCODE,Homo sapiens,immortalized cell line,5/13/16,"May, 2016",3D chromatin structure,HiC,Hi-C,Hi-C
ENCSR444WCZ,ENCODE3,John Stamatoyannopoulos,,,,A549,A549,"Job Dekker, UMass",ENCODE,Homo sapiens,immortalized cell line,5/13/16,"May, 2016",3D chromatin structure,HiC,Hi-C,Hi-C
ENCSR000CBR,ENCODE2-Mouse,Bing Ren,,POLR2A,Polr2a,C57BL/6 liver male adult (8 weeks),liver,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,7/22/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BCO,ENCODE2,Thomas Gingeras,,,,prostate gland male,prostate gland,"Yijun Ruan, JAX",ENCODE,Homo sapiens,tissue,10/17/11,"October, 2011",Transcription,RNA-PET,RNA-PET,RNA-PET
ENCSR977IMD,ENCODE3,Bradley Bernstein,,DNMT1,DNMT1,GM12878,GM12878,"John Rinn, Broad",ENCODE,Homo sapiens,immortalized cell line,5/4/16,"May, 2016",RNA binding,RIP-seq,RIP-seq,RNA binding protein
ENCSR323LAM,ENCODE3,Bradley Bernstein,,CHD4,CHD4,GM12878,GM12878,"John Rinn, Broad",ENCODE,Homo sapiens,immortalized cell line,5/4/16,"May, 2016",RNA binding,RIP-seq,RIP-seq,RNA binding protein
ENCSR910LIE,ENCODE2,Michael Snyder,,H3K36me3,HIST2H3C,HEK293,HEK293,"Peggy Farnham, USC",ENCODE,Homo sapiens,immortalized cell line,6/1/17,"June, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EAG,ENCODE2,Michael Snyder,,RELA,RELA,GM12878 treated with tumor necrosis factor,GM12878,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,5/14/12,"May, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR998KYQ,ENCODE3,John Stamatoyannopoulos,,,,C57BL/6 adipocyte,adipocyte,"John Stamatoyannopoulos, UW",ENCODE,Mus musculus,in vitro differentiated cells,11/2/16,"November, 2016",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR690VOH,ENCODE3,Bing Ren,,,,C57BL/6 neural tube embryo (12.5 days),neural tube,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,10/10/17,"October, 2017",DNA accessibility,ATAC-seq,ATAC-seq,ATAC-seq
ENCSR700QBR,ENCODE3,Bing Ren,,,,C57BL/6 neural tube embryo (14.5 days),neural tube,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,10/10/17,"October, 2017",DNA accessibility,ATAC-seq,ATAC-seq,ATAC-seq
ENCSR945GUR,ENCODE3,Brenton Graveley,,NAA15,NAA15,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,6/30/16,"June, 2016",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR456JJQ,ENCODE3,Brenton Graveley,,RBM22,RBM22,HepG2,HepG2,"Gene Yeo, UCSD",ENCODE,Homo sapiens,immortalized cell line,4/26/16,"April, 2016",RNA binding,eCLIP,eCLIP,RNA binding protein
ENCSR766FAC,ENCODE3,Brenton Graveley,,RPS3,RPS3,HepG2,HepG2,"Gene Yeo, UCSD",ENCODE,Homo sapiens,immortalized cell line,8/15/17,"August, 2017",RNA binding,eCLIP,eCLIP,RNA binding protein
ENCSR000DUK,ENCODE2,John Stamatoyannopoulos,,H3K4me3,HIST2H3C,HFF-Myc male newborn originated from foreskin fibroblast,HFF-Myc,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,11/17/11,"November, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR785DJD,ENCODE3,Bradley Bernstein,,H3K4me3,HIST2H3C,gastrocnemius medialis female adult (53 years),gastrocnemius medialis,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,tissue,1/27/17,"January, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000DSY,ENCODE2,John Stamatoyannopoulos,,H3K4me3,HIST2H3C,astrocyte of the cerebellum,astrocyte of the cerebellum,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,11/17/11,"November, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000ADW,ENCODE2-Mouse,Michael Snyder,,H3K27me3,Hist2h3c1,DBA/2 MEL cell line treated with dimethyl sulfoxide,MEL cell line,"Michael Snyder, Stanford",ENCODE,Mus musculus,immortalized cell line,8/20/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000AHL,ENCODE2-Mouse,Ross Hardison,,H3K36me3,Hist2h3c1,C3H C2C12,C2C12,"Barbara Wold, Caltech",ENCODE,Mus musculus,immortalized cell line,11/28/11,"November, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR081JYH,ENCODE3,Brenton Graveley,,NSUN2,NSUN2,K562,K562,"Gene Yeo, UCSD",ENCODE,Homo sapiens,immortalized cell line,9/21/16,"September, 2016",RNA binding,eCLIP,eCLIP,RNA binding protein
ENCSR000DIF,ENCODE2-Mouse,Ross Hardison,,POLR2AphosphoS5,Polr2a,129 G1E-ER4 treated with 17β-estradiol,G1E-ER4,"Ross Hardison, PennState",ENCODE,Mus musculus,stem cell,2/13/12,"February, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR557JTZ,ENCODE3,Michael Snyder,,GTF2F1,GTF2F1,MCF-7,MCF-7,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,7/7/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000AHU,ENCODE2-Mouse,Ross Hardison,,H3ac,Hist1h3b,C3H myocyte originated from C2C12,myocyte,"Barbara Wold, Caltech",ENCODE,Mus musculus,in vitro differentiated cells,11/28/11,"November, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR494TDU,ENCODE3,Michael Snyder,,NRF1,NRF1,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,7/7/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR096BPX,ENCODE3,Michael Snyder,,,,esophagus squamous epithelium female adult (51 year),esophagus squamous epithelium,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,6/21/17,"June, 2017",DNA accessibility,ATAC-seq,ATAC-seq,ATAC-seq
ENCSR838SMC,ENCODE3,Brenton Graveley,,RPS5,RPS5,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,12/17/14,"December, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR704IJM,ENCODE3,Richard Myers,,EP300,EP300,transverse colon female adult (51 year),transverse colon,"Richard Myers, HAIB",ENCODE,Homo sapiens,tissue,6/15/17,"June, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR977DCO,ENCODE3,Bing Ren,,H3K4me1,Hist2h3c1,C57BL/6 neural tube embryo (14.5 days),neural tube,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EHD,ENCODE2,Michael Snyder,,CHD2,CHD2,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CHX,ENCODE2-Mouse,Ross Hardison,,,,129 G1E-ER4 treated with 17β-estradiol,G1E-ER4,"Ross Hardison, PennState",ENCODE,Mus musculus,stem cell,8/13/12,"August, 2012",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR000EFQ,ENCODE2,Michael Snyder,,ZMIZ1,ZMIZ1,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,8/20/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CIA,ENCODE2-Mouse,Ross Hardison,,,,129 G1E-ER4 treated with 17β-estradiol,G1E-ER4,"Ross Hardison, PennState",ENCODE,Mus musculus,stem cell,8/13/12,"August, 2012",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR000CHH,ENCODE2-Mouse,Bing Ren,,,,C57BL/6 testis male adult (8 weeks),testis,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,5/4/12,"May, 2012",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR000DJB,ENCODE2-Mouse,Ross Hardison,,H3K4me1,Hist2h3c1,129 G1E,G1E,"Ross Hardison, PennState",ENCODE,Mus musculus,stem cell,8/6/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EHL,ENCODE2,Michael Snyder,,POLR2A,POLR2A,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR314UMJ,ENCODE3,Brenton Graveley,,TRA2A,TRA2A,HepG2,HepG2,"Gene Yeo, UCSD",ENCODE,Homo sapiens,immortalized cell line,7/15/15,"July, 2015",RNA binding,eCLIP,eCLIP,RNA binding protein
ENCSR000BCE,ENCODE2,Thomas Gingeras,,,,HepG2 cytosolic fraction,HepG2,"Yijun Ruan, JAX",ENCODE,Homo sapiens,immortalized cell line,10/17/11,"October, 2011",Transcription,RNA-PET,RNA-PET,RNA-PET
ENCSR000BDQ,ENCODE2,Gregory Crawford,,,,mammary epithelial cell female,mammary epithelial cell,"Gregory Crawford, Duke",ENCODE,Homo sapiens,primary cell,6/14/11,"June, 2011",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR000ETC,ENCODE2-Mouse,Michael Snyder,,SIN3A,Sin3a,DBA/2 MEL cell line,MEL cell line,"Michael Snyder, Stanford",ENCODE,Mus musculus,immortalized cell line,6/15/12,"June, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR057BKH,ENCODE3,Bing Ren,,H3K4me3,Hist2h3c1,C57BL/6 embryonic facial prominence embryo (13.5 days),embryonic facial prominence,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/23/15,"June, 2015",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR895AWR,ENCODE3,Bradley Bernstein,,KDM6A,KDM6A,H1-hESC,H1-hESC,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,stem cell,12/6/16,"December, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000DYF,ENCODE2,Michael Snyder,,POLR2AphosphoS2,POLR2A,A549,A549,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,5/14/12,"May, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR400TGE,ENCODE3,Bing Ren,,H3K9ac,,C57BL/6 forebrain embryo (11.5 days),forebrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR670REK,ENCODE3,Michael Snyder,,,,gastroesophageal sphincter female adult (53 years),gastroesophageal sphincter,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,6/15/16,"June, 2016",DNA accessibility,ATAC-seq,ATAC-seq,ATAC-seq
ENCSR857MYS,ENCODE2-Mouse,Ross Hardison,,H3K9me3,Hist2h3c1,129 E14TG2a.4,E14TG2a.4,"Ross Hardison, PennState",ENCODE,Mus musculus,stem cell,2/10/14,"February, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR668VCT,ENCODE3,Michael Snyder,,,,transverse colon male adult (37 years),transverse colon,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,6/15/16,"June, 2016",DNA accessibility,ATAC-seq,ATAC-seq,ATAC-seq
ENCSR000CBL,ENCODE2-Mouse,Bing Ren,,CTCF,Ctcf,C57BL/6 bone marrow male adult (8 weeks),bone marrow,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,7/22/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000EAJ,ENCODE2,Michael Snyder,,POLR2A,POLR2A,GM12891,GM12891,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR479BMI,ENCODE3,Thomas Gingeras,,,,SK-N-DZ nuclear fraction,SK-N-DZ,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,immortalized cell line,4/14/15,"April, 2015",Transcription,RNA-seq,RAMPAGE,RAMPAGE
ENCSR165YNQ,ENCODE3,Richard Myers,,,,fibroblast of arm male adult (53 years),fibroblast of arm,"Richard Myers, HAIB",ENCODE,Homo sapiens,primary cell,8/5/16,"August, 2016",Genotyping,comparative genomic hybridization by array,genotyping array,genotyping array
ENCSR027YNX,ENCODE3,Richard Myers,,,,HeLa-S3,HeLa-S3,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,8/5/16,"August, 2016",Genotyping,comparative genomic hybridization by array,genotyping array,genotyping array
ENCSR804MDH,ENCODE3,Bradley Bernstein,,H3K4me2,HIST2H3C,SU-DHL-6,SU-DHL-6,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,7/11/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR850QKN,ENCODE3,Bradley Bernstein,,H3K4me2,HIST2H3C,OCI-LY7,OCI-LY7,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,7/11/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR475NLR,ENCODE3,Bradley Bernstein,,H3K27me3,HIST2H3C,ACC112,ACC112,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,9/4/14,"September, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR875KOJ,ENCODE3,Bradley Bernstein,,H3K4me2,HIST2H3C,MCF-7,MCF-7,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,7/11/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR767VHR,ENCODE3,Richard Myers,,,,C57BL/6 common myeloid progenitor male adult (5-6 weeks),common myeloid progenitor,"Ross Hardison, PennState",ENCODE,Mus musculus,primary cell,9/29/14,"September, 2014",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR000AEN,ENCODE3,Brenton Graveley,,,,K562,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,6/30/14,"June, 2014",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR795VAK,ENCODE3,Brenton Graveley,,CPEB4,CPEB4,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,6/30/16,"June, 2016",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR000ELK,ENCODE2,Gregory Crawford,,,,islet precursor cell originated from epithelial cell of pancreas,islet precursor cell,"Gregory Crawford, Duke",ENCODE,Homo sapiens,in vitro differentiated cells,4/19/11,"April, 2011",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
